PRICE,BEDROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST
565000,4,2.0,600,160,2003.0,18300
365000,3,2.0,351,139,2013.0,26900
287000,3,1.0,719,86,1979.0,22600
255000,2,2.0,651,59,1953.0,17900
325000,4,2.0,466,131,1998.0,11200
409000,4,1.0,759,118,1991.0,27300
400000,3,2.0,386,132,2014.0,28200
370000,4,2.0,468,158,2013.0,41700
565000,4,3.0,875,168,1983.0,12100
685000,3,8.0,552,126,1999.0,5900
675000,4,6.0,2538,241,1977.0,22900
367500,3,2.0,398,158,2003.0,36300
300000,3,2.0,243,94,2008.0,11500
535000,4,4.0,704,247,2002.0,23100
540000,4,2.0,614,186,2004.0,13100
685000,3,3.0,706,196,1985.0,12500
350000,4,2.0,663,154,1994.0,36700
570000,4,2.0,568,225,2003.0,15300
318000,2,3.0,751,90,1959.0,18100
379000,3,3.0,785,167,1977.0,25400
387500,4,1.0,782,111,1981.0,23300
465000,4,2.0,450,173,2000.0,20700
325000,3,1.0,421,93,1972.0,11800
515000,3,2.0,388,160,2007.0,25000
610000,3,1.0,550,121,1920.0,14600
1950000,5,2.0,855,305,1981.0,10800
420000,4,2.0,600,295,2006.0,54500
492000,4,2.0,459,250,2012.0,14100
201000,3,2.0,711,99,1985.0,27500
275000,3,1.0,570,108,1996.0,15500
410000,4,1.0,808,155,1983.0,16700
315000,4,2.0,550,127,1999.0,46800
600000,4,4.0,2028,222,1988.0,24000
400000,4,2.0,672,186,2002.0,50400
350000,3,2.0,797,177,1974.0,20900
835000,4,2.0,480,170,1998.0,10800
482000,4,2.0,469,152,2008.0,19000
1260000,3,2.0,354,227,2000.0,12900
405000,3,4.0,781,156,1989.0,34800
465000,3,2.0,620,143,2002.0,14800
560000,5,2.0,592,168,1996.0,19800
380000,3,2.0,979,122,1978.0,11300
360000,3,2.0,397,130,2006.0,38000
540000,4,2.0,641,221,2005.0,26900
420000,3,2.0,680,163,1991.0,16200
330000,4,2.0,495,171,2011.0,45500
705000,3,6.0,774,132,1952.0,4500
615000,4,2.0,818,247,1994.0,10900
565000,3,2.0,775,151,1960.0,15500
850000,3,1.0,917,120,1959.0,3500
780000,4,2.0,447,305,2015.0,18600
520000,3,2.0,358,154,2001.0,17100
1100000,3,1.0,619,150,1945.0,8800
590000,5,2.0,834,246,2004.0,26400
312000,4,3.0,561,101,1993.0,19400
900000,3,3.0,372,213,2008.0,13400
580000,4,2.0,541,188,2004.0,16000
1310000,4,2.0,544,246,2010.0,8700
470000,3,2.0,295,110,1950.0,8000
717000,3,2.0,578,176,1995.0,6400
387000,4,4.0,380,114,1998.0,9500
330000,3,2.0,233,111,2014.0,31900
380000,3,2.0,350,156,2016.0,35200
85000,2,2.0,828,117,1965.0,17800
345000,3,2.0,603,128,1992.0,34500
528000,4,2.0,619,180,2008.0,24100
1350000,4,5.0,802,266,2012.0,12000
735000,4,2.0,1940,223,1982.0,18700
442500,4,2.0,529,176,2005.0,15400
1015000,3,2.0,500,312,2003.0,18600
530000,3,4.0,771,200,1985.0,13500
515000,3,2.0,688,90,1958.0,6800
1100000,4,4.0,1012,251,2005.0,10500
1265000,4,2.0,590,261,2005.0,8500
750000,4,2.0,4225,236,2003.0,28600
472500,4,4.0,446,147,2008.0,22700
380000,5,2.0,642,153,1994.0,35000
590000,3,2.0,449,179,2001.0,6800
835000,4,2.0,727,179,1985.0,11300
495000,4,2.0,432,155,2015.0,43700
390000,4,3.0,543,111,1994.0,11000
280000,3,2.0,806,119,1970.0,31900
355000,3,2.0,953,140,1974.0,13300
465000,4,4.0,697,160,1987.0,20800
685000,4,2.0,1012,180,1994.0,16600
360000,3,2.0,218,130,2006.0,10900
320000,4,2.0,550,185,2006.0,54600
492000,3,2.0,289,122,2008.0,15100
974000,5,2.0,766,290,1990.0,15200
435000,4,5.0,1062,177,1988.0,17800
900000,3,2.0,367,160,1995.0,6900
405000,3,3.0,698,110,1975.0,13900
290000,3,1.0,782,111,1978.0,12400
1160000,2,1.0,635,201,1950.0,4600
415000,3,2.0,555,159,2004.0,36700
525000,4,1.0,758,125,1984.0,22100
629000,4,3.0,578,229,2012.0,19500
600000,4,2.0,510,217,2007.0,25200
427000,3,2.0,618,134,2005.0,16300
1015000,5,2.0,911,309,1995.0,26100
445000,4,2.0,747,210,1991.0,42500
610000,4,3.0,1869,167,1985.0,29100
465000,4,2.0,803,173,1988.0,13300
454000,4,2.0,545,160,1993.0,10800
